contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250512C00473000,2025-05-02 13:30:59+00:00,473.0,92.15,89.55,91.6,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00474000,2025-04-30 14:37:29+00:00,474.0,72.99,88.41,90.59,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00481000,2025-04-30 16:22:49+00:00,481.0,68.71,81.85,83.61,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00492000,2025-05-07 19:47:06+00:00,492.0,69.6,70.43,72.38,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00500000,2025-05-05 14:33:28+00:00,500.0,64.05,62.67,64.38,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00515000,2025-05-06 13:30:02+00:00,515.0,41.87,47.62,49.64,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00520000,2025-05-07 18:07:44+00:00,520.0,44.11,42.72,44.26,5.84,15.2599945,6.0,12,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00521000,2025-05-07 19:42:41+00:00,521.0,41.63,41.93,43.67,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00522000,2025-05-06 19:55:46+00:00,522.0,38.36,40.92,42.67,0.0,0.0,1.0,10,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00523000,2025-04-30 14:34:48+00:00,523.0,27.06,39.65,41.68,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00524000,2025-05-06 13:58:37+00:00,524.0,34.34,39.93,40.08,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00525000,2025-05-07 14:54:05+00:00,525.0,35.17,38.96,39.12,0.0,0.0,2.0,9,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00526000,2025-05-07 19:50:04+00:00,526.0,34.33,37.96,38.11,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00528000,2025-05-07 19:50:04+00:00,528.0,32.36,35.99,36.16,0.0,0.0,10.0,7,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00530000,2025-05-07 19:58:02+00:00,530.0,32.03,33.96,34.12,0.0,0.0,621.0,154,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00531000,2025-05-07 19:42:07+00:00,531.0,30.9,31.99,33.76,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00532000,2025-05-08 14:00:02+00:00,532.0,32.4,31.95,32.1,3.6400013,12.656471,1.0,7,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00533000,2025-05-07 18:08:34+00:00,533.0,32.23,30.02,31.8,7.449999,30.064562,5.0,9,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00534000,2025-05-07 19:42:31+00:00,534.0,29.26,29.99,30.14,0.9899998,3.5019445,11.0,14,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00535000,2025-05-07 20:03:59+00:00,535.0,29.81,29.02,29.16,2.7999992,10.3665285,1.0,108,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00536000,2025-05-07 19:56:35+00:00,536.0,28.72,27.97,28.13,2.619999,10.038309,2.0,42,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00537000,2025-05-07 19:50:16+00:00,537.0,23.61,27.09,27.26,0.0,0.0,4.0,16,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00538000,2025-05-07 19:50:00+00:00,538.0,25.87,26.05,26.2,3.2600002,14.4184,2.0,14,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00539000,2025-05-07 19:50:16+00:00,539.0,25.68,25.08,25.24,3.960001,18.23205,1.0,28,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00540000,2025-05-08 14:54:02+00:00,540.0,23.52,24.18,24.33,1.0699997,4.7661457,13.0,84,1.0000000000000003e-05,True,REGULAR,USD
SPY250512C00541000,2025-05-07 19:50:00+00:00,541.0,23.85,22.94,23.72,3.4500008,16.911768,1.0,84,1.0000000000000003e-05,True,REGULAR,USD
