contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250508P00350000,2025-04-30 14:23:43+00:00,350.0,0.02,0.0,0.01,0.0,0.0,,60,2.68750328125,False,REGULAR,USD
SPY250508P00355000,2025-04-30 14:30:20+00:00,355.0,0.02,0.0,0.01,0.0,0.0,,60,2.6250034375,False,REGULAR,USD
SPY250508P00360000,2025-04-30 14:26:57+00:00,360.0,0.02,0.0,0.01,0.0,0.0,,11,2.56250359375,False,REGULAR,USD
SPY250508P00365000,2025-05-01 13:43:16+00:00,365.0,0.01,0.0,0.01,0.0,0.0,,201,2.50000375,False,REGULAR,USD
SPY250508P00370000,2025-04-29 18:22:55+00:00,370.0,0.02,0.0,0.01,0.0,0.0,,20,2.3750040624999995,False,REGULAR,USD
SPY250508P00375000,2025-05-01 13:39:11+00:00,375.0,0.02,0.0,0.01,0.0,0.0,,0,2.3125042187499996,False,REGULAR,USD
SPY250508P00380000,2025-04-30 13:31:02+00:00,380.0,0.04,0.0,0.01,0.0,0.0,,1,2.2500043749999996,False,REGULAR,USD
SPY250508P00385000,2025-05-01 17:26:55+00:00,385.0,0.01,0.0,0.01,0.0,0.0,,23,2.1875045312499997,False,REGULAR,USD
SPY250508P00390000,2025-05-01 15:55:33+00:00,390.0,0.02,0.0,0.01,0.0,0.0,,5,2.1250046874999997,False,REGULAR,USD
SPY250508P00400000,2025-05-01 14:45:10+00:00,400.0,0.01,0.0,0.01,0.0,0.0,,121,1.96875015625,False,REGULAR,USD
SPY250508P00405000,2025-05-01 15:58:01+00:00,405.0,0.02,0.0,0.01,0.0,0.0,,101,1.9375003125,False,REGULAR,USD
SPY250508P00410000,2025-05-01 13:56:08+00:00,410.0,0.02,0.0,0.01,0.0,0.0,,29,1.875000625,False,REGULAR,USD
SPY250508P00415000,2025-05-05 13:30:09+00:00,415.0,0.01,0.0,0.01,0.0,0.0,1.0,214,1.8125009374999999,False,REGULAR,USD
SPY250508P00420000,2025-05-02 13:59:26+00:00,420.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.75000125,False,REGULAR,USD
SPY250508P00425000,2025-05-01 19:22:02+00:00,425.0,0.02,0.0,0.01,0.0,0.0,,101,1.65625171875,False,REGULAR,USD
SPY250508P00430000,2025-05-02 17:11:01+00:00,430.0,0.01,0.0,0.01,0.0,0.0,2.0,18,1.5937520312499998,False,REGULAR,USD
SPY250508P00435000,2025-04-30 14:30:35+00:00,435.0,0.1,0.0,0.01,0.0,0.0,,33,1.5312523437499999,False,REGULAR,USD
SPY250508P00440000,2025-05-07 18:44:54+00:00,440.0,0.01,0.0,0.01,0.0,0.0,1.0,53,1.46875265625,False,REGULAR,USD
SPY250508P00445000,2025-05-02 14:20:54+00:00,445.0,0.02,0.0,0.01,0.0,0.0,2.0,322,1.40625296875,False,REGULAR,USD
SPY250508P00450000,2025-05-05 19:52:41+00:00,450.0,0.01,0.0,0.01,0.0,0.0,1000.0,1178,1.3437532812499997,False,REGULAR,USD
SPY250508P00455000,2025-05-05 16:42:31+00:00,455.0,0.01,0.0,0.01,0.0,0.0,11.0,15,1.2812535937499998,False,REGULAR,USD
SPY250508P00460000,2025-05-05 16:42:13+00:00,460.0,0.01,0.0,0.01,0.0,0.0,10.0,47,1.2500037499999999,False,REGULAR,USD
SPY250508P00465000,2025-05-07 18:09:01+00:00,465.0,0.01,0.0,0.01,0.0,0.0,51.0,407,1.1875040625,False,REGULAR,USD
SPY250508P00470000,2025-05-07 14:04:03+00:00,470.0,0.01,0.0,0.01,0.0,0.0,18.0,260,1.125004375,False,REGULAR,USD
SPY250508P00472000,2025-05-05 17:09:35+00:00,472.0,0.02,0.0,0.01,0.0,0.0,1.0,57,1.09375453125,False,REGULAR,USD
SPY250508P00474000,2025-05-07 13:44:53+00:00,474.0,0.02,0.0,0.01,0.0,0.0,139.0,208,1.0625046875000002,False,REGULAR,USD
SPY250508P00475000,2025-05-07 18:22:41+00:00,475.0,0.01,0.0,0.01,0.0,0.0,190.0,223,1.0625046875000002,False,REGULAR,USD
SPY250508P00476000,2025-05-07 18:23:04+00:00,476.0,0.01,0.0,0.01,0.0,0.0,199.0,357,1.0312548437500002,False,REGULAR,USD
SPY250508P00477000,2025-05-07 14:07:15+00:00,477.0,0.01,0.0,0.01,0.0,0.0,37.0,187,1.0312548437500002,False,REGULAR,USD
SPY250508P00478000,2025-05-07 18:32:04+00:00,478.0,0.01,0.0,0.01,0.0,0.0,272.0,308,1.0312548437500002,False,REGULAR,USD
SPY250508P00480000,2025-05-07 18:33:58+00:00,480.0,0.01,0.0,0.01,0.0,0.0,42.0,422,0.98437515625,False,REGULAR,USD
SPY250508P00481000,2025-05-07 15:30:43+00:00,481.0,0.02,0.0,0.01,0.0,0.0,441.0,220,0.98437515625,False,REGULAR,USD
SPY250508P00482000,2025-05-07 18:50:35+00:00,482.0,0.01,0.0,0.01,0.0,0.0,203.0,276,0.9687503125,False,REGULAR,USD
SPY250508P00483000,2025-05-07 18:39:29+00:00,483.0,0.02,0.0,0.01,0.0,0.0,51.0,51,0.9687503125,False,REGULAR,USD
SPY250508P00484000,2025-05-07 19:55:43+00:00,484.0,0.01,0.0,0.01,0.0,0.0,90.0,169,0.937500625,False,REGULAR,USD
SPY250508P00485000,2025-05-07 19:57:36+00:00,485.0,0.01,0.0,0.01,0.0,0.0,189.0,530,0.937500625,False,REGULAR,USD
SPY250508P00486000,2025-05-07 19:54:02+00:00,486.0,0.01,0.0,0.01,0.0,0.0,40.0,246,0.937500625,False,REGULAR,USD
SPY250508P00487000,2025-05-07 19:54:54+00:00,487.0,0.01,0.0,0.01,0.0,0.0,103.0,106,0.9062509375,False,REGULAR,USD
SPY250508P00488000,2025-05-07 19:55:19+00:00,488.0,0.01,0.0,0.01,0.0,0.0,144.0,169,0.9062509375,False,REGULAR,USD
SPY250508P00489000,2025-05-07 19:33:28+00:00,489.0,0.01,0.0,0.01,0.0,0.0,10.0,21,0.9062509375,False,REGULAR,USD
SPY250508P00490000,2025-05-07 19:51:43+00:00,490.0,0.01,0.0,0.01,0.0,0.0,36.0,449,0.87500125,False,REGULAR,USD
SPY250508P00491000,2025-05-07 19:52:22+00:00,491.0,0.01,0.0,0.01,0.0,0.0,25.0,35,0.87500125,False,REGULAR,USD
SPY250508P00492000,2025-05-07 18:26:01+00:00,492.0,0.01,0.0,0.01,0.0,0.0,30.0,243,0.85937640625,False,REGULAR,USD
SPY250508P00493000,2025-05-07 19:56:40+00:00,493.0,0.01,0.0,0.01,0.0,0.0,108.0,205,0.8437515624999999,False,REGULAR,USD
SPY250508P00494000,2025-05-07 19:57:01+00:00,494.0,0.02,0.0,0.01,0.0,0.0,104.0,665,0.8437515624999999,False,REGULAR,USD
SPY250508P00495000,2025-05-07 19:57:36+00:00,495.0,0.02,0.0,0.01,0.0,0.0,55.0,919,0.8281267187499999,False,REGULAR,USD
SPY250508P00496000,2025-05-07 19:29:00+00:00,496.0,0.01,0.0,0.01,0.0,0.0,56.0,172,0.8125018749999999,False,REGULAR,USD
SPY250508P00497000,2025-05-07 19:54:54+00:00,497.0,0.02,0.0,0.01,0.0,0.0,1108.0,1324,0.8125018749999999,False,REGULAR,USD
SPY250508P00498000,2025-05-07 19:59:52+00:00,498.0,0.01,0.0,0.01,0.0,0.0,415.0,1793,0.7812521875,False,REGULAR,USD
SPY250508P00499000,2025-05-07 19:42:22+00:00,499.0,0.01,0.0,0.01,0.0,0.0,537.0,1477,0.7812521875,False,REGULAR,USD
SPY250508P00500000,2025-05-07 19:46:28+00:00,500.0,0.02,0.0,0.01,0.0,0.0,281.0,2222,0.7812521875,False,REGULAR,USD
SPY250508P00501000,2025-05-07 18:29:58+00:00,501.0,0.02,0.0,0.01,0.0,0.0,701.0,1737,0.7500025,False,REGULAR,USD
SPY250508P00502000,2025-05-07 19:59:54+00:00,502.0,0.01,0.0,0.01,0.0,0.0,135.0,246,0.7500025,False,REGULAR,USD
SPY250508P00503000,2025-05-07 20:01:23+00:00,503.0,0.01,0.0,0.01,0.0,0.0,704.0,889,0.73437765625,False,REGULAR,USD
SPY250508P00504000,2025-05-07 19:43:19+00:00,504.0,0.01,0.0,0.01,0.0,0.0,231.0,352,0.7187528125,False,REGULAR,USD
SPY250508P00505000,2025-05-08 13:34:34+00:00,505.0,0.01,0.0,0.01,-0.01,-50.0,55.0,2054,0.7187528125,False,REGULAR,USD
SPY250508P00506000,2025-05-07 19:49:53+00:00,506.0,0.03,0.0,0.01,0.0,0.0,436.0,435,0.70312796875,False,REGULAR,USD
SPY250508P00507000,2025-05-07 18:39:36+00:00,507.0,0.02,0.0,0.01,0.0,0.0,140.0,215,0.6875031250000001,False,REGULAR,USD
SPY250508P00508000,2025-05-07 14:29:28+00:00,508.0,0.02,0.0,0.01,0.0,0.0,10.0,288,0.6875031250000001,False,REGULAR,USD
SPY250508P00509000,2025-05-07 20:14:40+00:00,509.0,0.01,0.0,0.01,0.0,0.0,8.0,339,0.6718782812500002,False,REGULAR,USD
SPY250508P00510000,2025-05-07 18:52:33+00:00,510.0,0.02,0.0,0.01,0.0,0.0,1852.0,2260,0.6562534375000001,False,REGULAR,USD
SPY250508P00511000,2025-05-07 18:16:14+00:00,511.0,0.04,0.0,0.01,0.0,0.0,1700.0,1712,0.6562534375000001,False,REGULAR,USD
SPY250508P00512000,2025-05-08 13:49:03+00:00,512.0,0.01,0.0,0.01,0.0,0.0,2.0,2272,0.64062859375,False,REGULAR,USD
SPY250508P00513000,2025-05-07 19:59:01+00:00,513.0,0.01,0.0,0.01,0.0,0.0,3062.0,3255,0.6250037500000001,False,REGULAR,USD
SPY250508P00514000,2025-05-07 19:51:13+00:00,514.0,0.02,0.0,0.01,0.0,0.0,572.0,1569,0.6093789062500001,False,REGULAR,USD
SPY250508P00515000,2025-05-07 19:52:42+00:00,515.0,0.02,0.0,0.01,0.0,0.0,370.0,3032,0.5937540625000001,False,REGULAR,USD
SPY250508P00516000,2025-05-07 20:10:04+00:00,516.0,0.01,0.0,0.01,0.0,0.0,75.0,274,0.5937540625000001,False,REGULAR,USD
SPY250508P00517000,2025-05-08 14:15:06+00:00,517.0,0.01,0.0,0.01,-0.01,-50.0,6.0,275,0.57812921875,False,REGULAR,USD
SPY250508P00518000,2025-05-08 13:33:58+00:00,518.0,0.01,0.0,0.01,-0.01,-50.0,2.0,473,0.5625043750000001,False,REGULAR,USD
SPY250508P00519000,2025-05-07 20:00:19+00:00,519.0,0.02,0.0,0.01,0.0,0.0,758.0,707,0.5625043750000001,False,REGULAR,USD
SPY250508P00520000,2025-05-08 13:31:03+00:00,520.0,0.01,0.0,0.01,0.0,0.0,15.0,3423,0.5468795312500001,False,REGULAR,USD
SPY250508P00521000,2025-05-07 19:58:58+00:00,521.0,0.02,0.0,0.01,0.0,0.0,2995.0,3477,0.5312546875,False,REGULAR,USD
SPY250508P00522000,2025-05-07 20:04:08+00:00,522.0,0.01,0.0,0.01,-0.01,-50.0,20.0,1181,0.5312546875,False,REGULAR,USD
