strike,lastPrice,bid,ask,impliedVolatility,optionType,expirationDate,american_price,european_price,black_scholes_price,diff
129.0,10.44,9.85,10.65,0.5625043750000001,call,2025-02-21,10.910722334559111,10.910722334559111,10.909831062665248,0.6607223345591109
130.0,9.35,9.1,9.55,0.5459029785156251,call,2025-02-21,10.019468895465286,10.019468895465286,10.019097002521221,0.6944688954652865
131.0,8.55,8.45,9.0,0.6176796044921876,call,2025-02-21,9.642481298005661,9.642481298005661,9.641117742770973,0.9174812980056615
132.0,7.78,7.0,7.9,0.6093789062500001,call,2025-02-21,8.86424827805796,8.86424827805796,8.86323184854983,1.4142482780579604
133.0,6.9,6.85,7.0,0.56055126953125,call,2025-02-21,7.848695498958606,7.848695498958606,7.8483083522969395,0.9236954989586064
134.0,6.15,6.05,6.2,0.5473678076171876,call,2025-02-21,7.077072053964149,7.077072053964149,7.076266904934229,0.952072053964149
135.0,5.4,5.3,5.45,0.5376022802734376,call,2025-02-21,6.35591207040178,6.35591207040178,6.355198031095483,0.9809120704017804
136.0,4.63,4.6,4.75,0.5297898583984376,call,2025-02-21,5.68015730170205,5.68015730170205,5.679954059939632,1.0051573017020505
137.0,4.03,3.95,4.1,0.5224657128906249,call,2025-02-21,5.04250577695247,5.04250577695247,5.043282265910179,1.0175057769524694
138.0,3.45,3.35,3.45,0.5112353564453125,call,2025-02-21,4.412378317129637,4.412378317129637,4.41403417663318,1.0123783171296363
139.0,2.9,2.85,2.9,0.5083056982421875,call,2025-02-21,3.886943420266954,3.886943420266954,3.8867956397614165,1.0119434202669542
140.0,2.39,2.37,2.4,0.5022022436523439,call,2025-02-21,3.377173042627101,3.377173042627101,3.375794318441635,0.9921730426271012
141.0,1.96,1.94,1.98,0.5014698291015626,call,2025-02-21,2.9484001531115305,2.9484001531115305,2.9465612594529773,0.9884001531115305
142.0,1.6,1.57,1.62,0.4995167236328125,call,2025-02-21,2.5495951919902167,2.5495951919902167,2.54800307592312,0.9545951919902165
143.0,1.28,1.26,1.3,0.49561051269531253,call,2025-02-21,2.175037460550719,2.175037460550719,2.174519829028128,0.895037460550719
144.0,1.01,1.01,1.04,0.4946339599609375,call,2025-02-21,1.8588882115623053,1.8588882115623053,1.859879381157974,0.8338882115623054
145.0,0.79,0.79,0.82,0.4931691308593751,call,2025-02-21,1.5765511564940802,1.5765511564940802,1.5774091539158661,0.7715511564940802
146.0,0.63,0.62,0.64,0.49170430175781255,call,2025-02-21,1.32885850511912,1.32885850511912,1.3285236555330968,0.69885850511912
147.0,0.48,0.48,0.5,0.49268085449218757,call,2025-02-21,1.1253809264603305,1.1253809264603305,1.12464866350005,0.6353809264603305
148.0,0.38,0.37,0.39,0.495122236328125,call,2025-02-21,0.9558263470450435,0.9558263470450435,0.9550489423661794,0.5758263470450435
129.0,0.49,0.48,0.49,0.594730615234375,put,2025-02-21,1.0964530857516632,1.095405054182963,1.097222633286865,0.6114530857516632
130.0,0.58,0.57,0.58,0.5795940478515625,put,2025-02-21,1.225343167734846,1.2241568909906901,1.2242127025037384,0.6503431677348461
131.0,0.7,0.68,0.7,0.5664105859375,put,2025-02-21,1.3804518869944093,1.379044401270786,1.3782437448463263,0.6904518869944094
132.0,0.83,0.82,0.84,0.5542036767578126,put,2025-02-21,1.5606534014465627,1.5589711746179662,1.5577522820841168,0.7306534014465628
133.0,1.01,0.99,1.02,0.543949873046875,put,2025-02-21,1.7757703876764412,1.7737507247752158,1.7723597094837658,0.7707703876764413
134.0,1.24,1.2,1.24,0.5356491748046875,put,2025-02-21,2.030487835630464,2.028056939610552,2.0266550765972866,0.8104878356304639
135.0,1.47,1.46,1.49,0.5278367529296876,put,2025-02-21,2.3189932737956727,2.3160676996998646,2.3148448059275495,0.8439932737956726
136.0,1.78,1.75,1.8,0.5205126074218749,put,2025-02-21,2.643985139488402,2.6404619568563263,2.639752561994939,0.8689851394884021
137.0,2.12,2.1,2.15,0.5136767382812499,put,2025-02-21,3.0078949905145214,3.003649030936886,3.0039792085017964,0.8828949905145214
138.0,2.51,2.5,2.55,0.506840869140625,put,2025-02-21,3.4094780150547757,3.404308533787213,3.4060778929168123,0.8844780150547757
139.0,2.98,2.95,3.05,0.5041553491210937,put,2025-02-21,3.8858746019395034,3.879752705825237,3.8795925529320527,0.8858746019395034
140.0,3.5,3.45,3.55,0.5048877636718749,put,2025-02-21,4.428697971159573,4.421480941635107,4.420135750626997,0.9286979711595729
141.0,4.07,4.0,4.1,0.49609878906250005,put,2025-02-21,4.939321351974102,4.930779784043085,4.928941573980566,0.8893213519741021
142.0,4.55,4.65,4.8,0.5053760400390624,put,2025-02-21,5.625055055772256,5.6151480902134265,5.613420064004714,0.9000550557722562
143.0,5.4,5.3,5.45,0.4958546508789063,put,2025-02-21,6.2098118958355775,6.198098076563963,6.197561225903058,0.8348118958355775
