,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
0,NVDA250221C00000500,2025-02-14 19:45:44+00:00,0.5,137.3,137.7,138.9,2.5400085,1.8848387,14.0,34662.0,0.0,True,REGULAR,USD,call,2025-02-21,NVDA
1,NVDA250221C00001000,2025-02-13 19:22:16+00:00,1.0,134.05,137.3,138.6,0.0,0.0,1.0,390.0,22.31250302734375,True,REGULAR,USD,call,2025-02-21,NVDA
2,NVDA250221C00001500,2025-02-13 19:22:16+00:00,1.5,133.54,136.5,137.85,0.0,0.0,1.0,118.0,27.656251357421876,True,REGULAR,USD,call,2025-02-21,NVDA
3,NVDA250221C00002000,2025-02-10 15:23:36+00:00,2.0,132.7,136.15,138.05,0.0,0.0,80.0,56.0,21.250003359375,True,REGULAR,USD,call,2025-02-21,NVDA
4,NVDA250221C00002500,2025-02-10 15:24:36+00:00,2.5,132.15,135.55,136.9,0.0,0.0,80.0,54.0,23.312502714843752,True,REGULAR,USD,call,2025-02-21,NVDA
5,NVDA250221C00003000,2025-02-12 17:19:16+00:00,3.0,128.69,135.0,136.4,0.0,0.0,39.0,173.0,21.781253193359372,True,REGULAR,USD,call,2025-02-21,NVDA
6,NVDA250221C00003500,2025-01-27 14:46:27+00:00,3.5,123.95,134.4,136.4,0.0,0.0,6.0,6.0,14.00000125,True,REGULAR,USD,call,2025-02-21,NVDA
7,NVDA250221C00004000,2025-01-27 14:50:44+00:00,4.0,122.6,134.15,135.5,0.0,0.0,1.0,6.0,20.296878657226564,True,REGULAR,USD,call,2025-02-21,NVDA
8,NVDA250221C00004500,2025-02-05 16:12:36+00:00,4.5,118.7,133.45,134.9,0.0,0.0,14.0,13.0,18.703129155273437,True,REGULAR,USD,call,2025-02-21,NVDA
9,NVDA250221C00005000,2025-02-05 18:10:28+00:00,5.0,118.75,132.85,134.4,0.0,0.0,2.0,381.0,17.968754384765628,True,REGULAR,USD,call,2025-02-21,NVDA
10,NVDA250221C00010000,2024-04-05 18:33:25+00:00,10.0,869.42,873.45,885.05,0.0,0.0,4.0,18.0,0.0,True,REGULAR,USD,call,2025-02-21,NVDA
11,NVDA250221C00015000,2024-04-05 17:00:15+00:00,15.0,869.93,868.7,879.55,0.0,0.0,4.0,5.0,0.0,True,REGULAR,USD,call,2025-02-21,NVDA
12,NVDA250221C00020000,2025-02-14 20:44:08+00:00,20.0,118.6,118.25,120.0,6.720001,6.006437,30.0,362.0,8.75000453125,True,REGULAR,USD,call,2025-02-21,NVDA
13,NVDA250221C00021000,2025-02-10 17:47:15+00:00,21.0,113.28,117.15,118.6,0.0,0.0,6.0,105.0,6.4062519921875,True,REGULAR,USD,call,2025-02-21,NVDA
14,NVDA250221C00022000,2025-02-14 17:35:48+00:00,22.0,115.15,116.1,117.65,6.1500015,5.642203,30.0,304.0,6.2500021875,True,REGULAR,USD,call,2025-02-21,NVDA
15,NVDA250221C00023000,2025-02-10 19:05:02+00:00,23.0,111.45,114.7,116.7,0.0,0.0,160.0,106.0,9.812503867187502,True,REGULAR,USD,call,2025-02-21,NVDA
16,NVDA250221C00024000,2025-02-12 16:26:16+00:00,24.0,106.5,114.15,115.9,0.0,0.0,10.0,90.0,7.429688212890625,True,REGULAR,USD,call,2025-02-21,NVDA
17,NVDA250221C00025000,2025-02-10 18:58:01+00:00,25.0,109.35,113.0,114.8,0.0,0.0,80.0,214.0,6.2500021875,True,REGULAR,USD,call,2025-02-21,NVDA
